buy_high,buy_low,buy_med,maint_low,maint_med,maint_high,doors_2,doors_3,doors_4,person_2,person_4,lug_boot_med,lug_boot_small,safty_med,safty_low,acc,good,unacc,vgood
1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
